pays,annee,icf,region,flag
ue27,2021,1.53102,Europe,🇪🇺
ue27,2022,1.46033,Europe,🇪🇺
ue27,2023,1.38248,Europe,🇪🇺
Belgique,1960,2.53813,Europe,🇧🇪
Belgique,1961,2.63299,Europe,🇧🇪
Belgique,1962,2.59189,Europe,🇧🇪
Belgique,1963,2.68091,Europe,🇧🇪
Belgique,1964,2.7121,Europe,🇧🇪
Belgique,1965,2.61385,Europe,🇧🇪
Belgique,1966,2.52008,Europe,🇧🇪
Belgique,1967,2.40963,Europe,🇧🇪
Belgique,1968,2.30965,Europe,🇧🇪
Belgique,1969,2.27395,Europe,🇧🇪
Belgique,1970,2.25107,Europe,🇧🇪
Belgique,1971,2.21071,Europe,🇧🇪
Belgique,1972,2.08967,Europe,🇧🇪
Belgique,1973,1.94853,Europe,🇧🇪
Belgique,1974,1.82989,Europe,🇧🇪
Belgique,1975,1.73672,Europe,🇧🇪
Belgique,1976,1.72676,Europe,🇧🇪
Belgique,1977,1.70872,Europe,🇧🇪
Belgique,1978,1.69201,Europe,🇧🇪
Belgique,1979,1.69061,Europe,🇧🇪
Belgique,1980,1.67942,Europe,🇧🇪
Belgique,1981,1.66428,Europe,🇧🇪
Belgique,1982,1.61377,Europe,🇧🇪
Belgique,1983,1.56512,Europe,🇧🇪
Belgique,1984,1.53644,Europe,🇧🇪
Belgique,1985,1.507,Europe,🇧🇪
Belgique,1986,1.54305,Europe,🇧🇪
Belgique,1987,1.5402,Europe,🇧🇪
Belgique,1988,1.56661,Europe,🇧🇪
Belgique,1989,1.58077,Europe,🇧🇪
Belgique,1990,1.62122,Europe,🇧🇪
Belgique,1991,1.65642,Europe,🇧🇪
Belgique,1992,1.64901,Europe,🇧🇪
Belgique,1993,1.60644,Europe,🇧🇪
Belgique,1994,1.56012,Europe,🇧🇪
Belgique,1995,1.56121,Europe,🇧🇪
Belgique,1996,1.59121,Europe,🇧🇪
Belgique,1997,1.60485,Europe,🇧🇪
Belgique,1998,1.59654,Europe,🇧🇪
Belgique,1999,1.61555,Europe,🇧🇪
Belgique,2000,1.66658,Europe,🇧🇪
Belgique,2001,1.66859,Europe,🇧🇪
Belgique,2002,1.64626,Europe,🇧🇪
Belgique,2003,1.66839,Europe,🇧🇪
Belgique,2004,1.72384,Europe,🇧🇪
Belgique,2005,1.76013,Europe,🇧🇪
Belgique,2006,1.80019,Europe,🇧🇪
Belgique,2007,1.81621,Europe,🇧🇪
Belgique,2008,1.85051,Europe,🇧🇪
Belgique,2009,1.83727,Europe,🇧🇪
Belgique,2010,1.86219,Europe,🇧🇪
Belgique,2011,1.81431,Europe,🇧🇪
Belgique,2012,1.79743,Europe,🇧🇪
Belgique,2013,1.75557,Europe,🇧🇪
Belgique,2014,1.74223,Europe,🇧🇪
Belgique,2015,1.69586,Europe,🇧🇪
Belgique,2016,1.68349,Europe,🇧🇪
Belgique,2017,1.64774,Europe,🇧🇪
Belgique,2018,1.62131,Europe,🇧🇪
Belgique,2019,1.60334,Europe,🇧🇪
Belgique,2020,1.55182,Europe,🇧🇪
Belgique,2021,1.59851,Europe,🇧🇪
Belgique,2022,1.52949,Europe,🇧🇪
Belgique,2023,1.47168,Europe,🇧🇪
Allemagne,1960,2.381,Europe,🇩🇪
Allemagne,1961,2.465,Europe,🇩🇪
Allemagne,1962,2.462,Europe,🇩🇪
Allemagne,1963,2.523,Europe,🇩🇪
Allemagne,1964,2.525,Europe,🇩🇪
Allemagne,1965,2.487,Europe,🇩🇪
Allemagne,1966,2.503,Europe,🇩🇪
Allemagne,1967,2.439,Europe,🇩🇪
Allemagne,1968,2.341,Europe,🇩🇪
Allemagne,1969,2.2,Europe,🇩🇪
Allemagne,1970,2.024,Europe,🇩🇪
Allemagne,1971,1.951,Europe,🇩🇪
Allemagne,1972,1.726,Europe,🇩🇪
Allemagne,1973,1.551,Europe,🇩🇪
Allemagne,1974,1.521,Europe,🇩🇪
Allemagne,1975,1.477,Europe,🇩🇪
Allemagne,1976,1.494,Europe,🇩🇪
Allemagne,1977,1.498,Europe,🇩🇪
Allemagne,1978,1.489,Europe,🇩🇪
Allemagne,1979,1.494,Europe,🇩🇪
Allemagne,1980,1.556,Europe,🇩🇪
Allemagne,1981,1.529,Europe,🇩🇪
Allemagne,1982,1.504,Europe,🇩🇪
Allemagne,1983,1.43,Europe,🇩🇪
Allemagne,1984,1.389,Europe,🇩🇪
Allemagne,1985,1.378,Europe,🇩🇪
Allemagne,1986,1.417,Europe,🇩🇪
Allemagne,1987,1.438,Europe,🇩🇪
Allemagne,1988,1.464,Europe,🇩🇪
Allemagne,1989,1.433,Europe,🇩🇪
Allemagne,1990,1.46,Europe,🇩🇪
Allemagne,1991,1.344,Europe,🇩🇪
Allemagne,1992,1.305,Europe,🇩🇪
Allemagne,1993,1.288,Europe,🇩🇪
Allemagne,1994,1.254,Europe,🇩🇪
Allemagne,1995,1.262,Europe,🇩🇪
Allemagne,1996,1.33,Europe,🇩🇪
Allemagne,1997,1.377,Europe,🇩🇪
Allemagne,1998,1.364,Europe,🇩🇪
Allemagne,1999,1.37,Europe,🇩🇪
Allemagne,2000,1.38003,Europe,🇩🇪
Allemagne,2001,1.34643,Europe,🇩🇪
Allemagne,2002,1.33918,Europe,🇩🇪
Allemagne,2003,1.33756,Europe,🇩🇪
Allemagne,2004,1.3565,Europe,🇩🇪
Allemagne,2005,1.33801,Europe,🇩🇪
Allemagne,2006,1.32938,Europe,🇩🇪
Allemagne,2007,1.36875,Europe,🇩🇪
Allemagne,2008,1.37865,Europe,🇩🇪
Allemagne,2009,1.35691,Europe,🇩🇪
Allemagne,2010,1.39206,Europe,🇩🇪
Allemagne,2011,1.39091,Europe,🇩🇪
Allemagne,2012,1.4093,Europe,🇩🇪
Allemagne,2013,1.41871,Europe,🇩🇪
Allemagne,2014,1.47486,Europe,🇩🇪
Allemagne,2015,1.50232,Europe,🇩🇪
Allemagne,2016,1.59662,Europe,🇩🇪
Allemagne,2017,1.56944,Europe,🇩🇪
Allemagne,2018,1.56558,Europe,🇩🇪
Allemagne,2019,1.54091,Europe,🇩🇪
Allemagne,2020,1.53148,Europe,🇩🇪
Allemagne,2021,1.57669,Europe,🇩🇪
Allemagne,2022,1.45567,Europe,🇩🇪
Allemagne,2023,1.38506,Europe,🇩🇪
Espagne,1960,2.808,Europe,🇪🇸
Espagne,1961,2.778,Europe,🇪🇸
Espagne,1962,2.804,Europe,🇪🇸
Espagne,1963,2.876,Europe,🇪🇸
Espagne,1964,2.998,Europe,🇪🇸
Espagne,1965,2.926,Europe,🇪🇸
Espagne,1966,2.913,Europe,🇪🇸
Espagne,1967,2.971,Europe,🇪🇸
Espagne,1968,2.923,Europe,🇪🇸
Espagne,1969,2.901,Europe,🇪🇸
Espagne,1970,2.884,Europe,🇪🇸
Espagne,1971,2.90115,Europe,🇪🇸
Espagne,1972,2.87022,Europe,🇪🇸
Espagne,1973,2.83838,Europe,🇪🇸
Espagne,1974,2.87728,Europe,🇪🇸
Espagne,1975,2.77201,Europe,🇪🇸
Espagne,1976,2.77074,Europe,🇪🇸
Espagne,1977,2.65496,Europe,🇪🇸
Espagne,1978,2.54465,Europe,🇪🇸
Espagne,1979,2.37106,Europe,🇪🇸
Espagne,1980,2.21643,Europe,🇪🇸
Espagne,1981,2.03888,Europe,🇪🇸
Espagne,1982,1.94224,Europe,🇪🇸
Espagne,1983,1.79833,Europe,🇪🇸
Espagne,1984,1.72669,Europe,🇪🇸
Espagne,1985,1.6398,Europe,🇪🇸
Espagne,1986,1.55585,Europe,🇪🇸
Espagne,1987,1.49362,Europe,🇪🇸
Espagne,1988,1.44773,Europe,🇪🇸
Espagne,1989,1.3972,Europe,🇪🇸
Espagne,1990,1.36027,Europe,🇪🇸
Espagne,1991,1.32666,Europe,🇪🇸
Espagne,1992,1.31045,Europe,🇪🇸
Espagne,1993,1.25636,Europe,🇪🇸
Espagne,1994,1.19047,Europe,🇪🇸
Espagne,1995,1.1553,Europe,🇪🇸
Espagne,1996,1.14053,Europe,🇪🇸
Espagne,1997,1.15008,Europe,🇪🇸
Espagne,1998,1.12907,Europe,🇪🇸
Espagne,1999,1.16783,Europe,🇪🇸
Espagne,2000,1.21524,Europe,🇪🇸
Espagne,2001,1.23218,Europe,🇪🇸
Espagne,2002,1.25179,Europe,🇪🇸
Espagne,2003,1.29604,Europe,🇪🇸
Espagne,2004,1.31319,Europe,🇪🇸
Espagne,2005,1.32955,Europe,🇪🇸
Espagne,2006,1.36227,Europe,🇪🇸
Espagne,2007,1.37687,Europe,🇪🇸
Espagne,2008,1.44608,Europe,🇪🇸
Espagne,2009,1.37935,Europe,🇪🇸
Espagne,2010,1.36904,Europe,🇪🇸
Espagne,2011,1.34238,Europe,🇪🇸
Espagne,2012,1.32109,Europe,🇪🇸
Espagne,2013,1.27306,Europe,🇪🇸
Espagne,2014,1.31771,Europe,🇪🇸
Espagne,2015,1.33016,Europe,🇪🇸
Espagne,2016,1.33316,Europe,🇪🇸
Espagne,2017,1.30508,Europe,🇪🇸
Espagne,2018,1.25616,Europe,🇪🇸
Espagne,2019,1.22868,Europe,🇪🇸
Espagne,2020,1.17977,Europe,🇪🇸
Espagne,2021,1.18054,Europe,🇪🇸
Espagne,2022,1.15727,Europe,🇪🇸
Espagne,2023,1.11863,Europe,🇪🇸
France,1960,2.72719,Europe,🇫🇷
France,1961,2.81187,Europe,🇫🇷
France,1962,2.78226,Europe,🇫🇷
France,1963,2.88302,Europe,🇫🇷
France,1964,2.90144,Europe,🇫🇷
France,1965,2.83602,Europe,🇫🇷
France,1966,2.78793,Europe,🇫🇷
France,1967,2.66013,Europe,🇫🇷
France,1968,2.5782,Europe,🇫🇷
France,1969,2.526,Europe,🇫🇷
France,1970,2.47289,Europe,🇫🇷
France,1971,2.48962,Europe,🇫🇷
France,1972,2.41222,Europe,🇫🇷
France,1973,2.30226,Europe,🇫🇷
France,1974,2.10714,Europe,🇫🇷
France,1975,1.92709,Europe,🇫🇷
France,1976,1.82952,Europe,🇫🇷
France,1977,1.86225,Europe,🇫🇷
France,1978,1.82231,Europe,🇫🇷
France,1979,1.85576,Europe,🇫🇷
France,1980,1.94584,Europe,🇫🇷
France,1981,1.94566,Europe,🇫🇷
France,1982,1.9128,Europe,🇫🇷
France,1983,1.78457,Europe,🇫🇷
France,1984,1.8021,Europe,🇫🇷
France,1985,1.81436,Europe,🇫🇷
France,1986,1.83167,Europe,🇫🇷
France,1987,1.80179,Europe,🇫🇷
France,1988,1.80562,Europe,🇫🇷
France,1989,1.78825,Europe,🇫🇷
France,1990,1.77868,Europe,🇫🇷
France,1991,1.77013,Europe,🇫🇷
France,1992,1.73391,Europe,🇫🇷
France,1993,1.66064,Europe,🇫🇷
France,1994,1.66327,Europe,🇫🇷
France,1995,1.71349,Europe,🇫🇷
France,1996,1.73368,Europe,🇫🇷
France,1997,1.72623,Europe,🇫🇷
France,1998,1.77945,Europe,🇫🇷
France,1999,1.80899,Europe,🇫🇷
France,2000,1.8938,Europe,🇫🇷
France,2001,1.89557,Europe,🇫🇷
France,2002,1.88115,Europe,🇫🇷
France,2003,1.89165,Europe,🇫🇷
France,2004,1.91505,Europe,🇫🇷
France,2005,1.93864,Europe,🇫🇷
France,2006,1.9981,Europe,🇫🇷
France,2007,1.9778,Europe,🇫🇷
France,2008,2.00745,Europe,🇫🇷
France,2009,2.00449,Europe,🇫🇷
France,2010,2.0297,Europe,🇫🇷
France,2011,2.011,Europe,🇫🇷
France,2012,2.00938,Europe,🇫🇷
France,2013,1.98938,Europe,🇫🇷
France,2014,2.00041,Europe,🇫🇷
France,2015,1.95692,Europe,🇫🇷
France,2016,1.925,Europe,🇫🇷
France,2017,1.89351,Europe,🇫🇷
France,2018,1.87066,Europe,🇫🇷
France,2019,1.86327,Europe,🇫🇷
France,2020,1.81782,Europe,🇫🇷
France,2021,1.82536,Europe,🇫🇷
France,2022,1.78069,Europe,🇫🇷
France,2023,1.66014,Europe,🇫🇷
Italie,1960,2.37331,Europe,🇮🇹
Italie,1961,2.42113,Europe,🇮🇹
Italie,1962,2.44062,Europe,🇮🇹
Italie,1963,2.50083,Europe,🇮🇹
Italie,1964,2.65183,Europe,🇮🇹
Italie,1965,2.59296,Europe,🇮🇹
Italie,1966,2.57434,Europe,🇮🇹
Italie,1967,2.49916,Europe,🇮🇹
Italie,1968,2.49309,Europe,🇮🇹
Italie,1969,2.46351,Europe,🇮🇹
Italie,1970,2.38282,Europe,🇮🇹
Italie,1971,2.397,Europe,🇮🇹
Italie,1972,2.34727,Europe,🇮🇹
Italie,1973,2.30494,Europe,🇮🇹
Italie,1974,2.28452,Europe,🇮🇹
Italie,1975,2.17081,Europe,🇮🇹
Italie,1976,2.04374,Europe,🇮🇹
Italie,1977,1.93148,Europe,🇮🇹
Italie,1978,1.83963,Europe,🇮🇹
Italie,1979,1.7291,Europe,🇮🇹
Italie,1980,1.64119,Europe,🇮🇹
Italie,1981,1.58481,Europe,🇮🇹
Italie,1982,1.56163,Europe,🇮🇹
Italie,1983,1.50594,Europe,🇮🇹
Italie,1984,1.45742,Europe,🇮🇹
Italie,1985,1.41824,Europe,🇮🇹
Italie,1986,1.35105,Europe,🇮🇹
Italie,1987,1.32873,Europe,🇮🇹
Italie,1988,1.36047,Europe,🇮🇹
Italie,1989,1.32617,Europe,🇮🇹
Italie,1990,1.3343,Europe,🇮🇹
Italie,1991,1.30225,Europe,🇮🇹
Italie,1992,1.30022,Europe,🇮🇹
Italie,1993,1.25202,Europe,🇮🇹
Italie,1994,1.21064,Europe,🇮🇹
Italie,1995,1.19215,Europe,🇮🇹
Italie,1996,1.19727,Europe,🇮🇹
Italie,1997,1.21287,Europe,🇮🇹
Italie,1998,1.21359,Europe,🇮🇹
Italie,1999,1.23308,Europe,🇮🇹
Italie,2000,1.25688,Europe,🇮🇹
Italie,2001,1.25097,Europe,🇮🇹
Italie,2002,1.27042,Europe,🇮🇹
Italie,2003,1.28843,Europe,🇮🇹
Italie,2004,1.34052,Europe,🇮🇹
Italie,2005,1.33371,Europe,🇮🇹
Italie,2006,1.3676,Europe,🇮🇹
Italie,2007,1.393,Europe,🇮🇹
Italie,2008,1.43797,Europe,🇮🇹
Italie,2009,1.43716,Europe,🇮🇹
Italie,2010,1.44063,Europe,🇮🇹
Italie,2011,1.42436,Europe,🇮🇹
Italie,2012,1.41804,Europe,🇮🇹
Italie,2013,1.38871,Europe,🇮🇹
Italie,2014,1.3843,Europe,🇮🇹
Italie,2015,1.36496,Europe,🇮🇹
Italie,2016,1.35717,Europe,🇮🇹
Italie,2017,1.33744,Europe,🇮🇹
Italie,2018,1.30586,Europe,🇮🇹
Italie,2019,1.26702,Europe,🇮🇹
Italie,2020,1.24459,Europe,🇮🇹
Italie,2021,1.25223,Europe,🇮🇹
Italie,2022,1.24272,Europe,🇮🇹
Italie,2023,1.20579,Europe,🇮🇹
Hongrie,1960,2.02241,Europe,🇭🇺
Hongrie,1961,1.93701,Europe,🇭🇺
Hongrie,1962,1.79209,Europe,🇭🇺
Hongrie,1963,1.82055,Europe,🇭🇺
Hongrie,1964,1.81538,Europe,🇭🇺
Hongrie,1965,1.82191,Europe,🇭🇺
Hongrie,1966,1.88682,Europe,🇭🇺
Hongrie,1967,2.0117,Europe,🇭🇺
Hongrie,1968,2.06325,Europe,🇭🇺
Hongrie,1969,2.03826,Europe,🇭🇺
Hongrie,1970,1.97932,Europe,🇭🇺
Hongrie,1971,1.92973,Europe,🇭🇺
Hongrie,1972,1.92742,Europe,🇭🇺
Hongrie,1973,1.92916,Europe,🇭🇺
Hongrie,1974,2.27164,Europe,🇭🇺
Hongrie,1975,2.34796,Europe,🇭🇺
Hongrie,1976,2.23323,Europe,🇭🇺
Hongrie,1977,2.15288,Europe,🇭🇺
Hongrie,1978,2.06493,Europe,🇭🇺
Hongrie,1979,2.01178,Europe,🇭🇺
Hongrie,1980,1.91266,Europe,🇭🇺
Hongrie,1981,1.87544,Europe,🇭🇺
Hongrie,1982,1.79502,Europe,🇭🇺
Hongrie,1983,1.74626,Europe,🇭🇺
Hongrie,1984,1.7545,Europe,🇭🇺
Hongrie,1985,1.84817,Europe,🇭🇺
Hongrie,1986,1.83835,Europe,🇭🇺
Hongrie,1987,1.81954,Europe,🇭🇺
Hongrie,1988,1.80843,Europe,🇭🇺
Hongrie,1989,1.8179,Europe,🇭🇺
Hongrie,1990,1.86671,Europe,🇭🇺
Hongrie,1991,1.87349,Europe,🇭🇺
Hongrie,1992,1.77341,Europe,🇭🇺
Hongrie,1993,1.68416,Europe,🇭🇺
Hongrie,1994,1.63921,Europe,🇭🇺
Hongrie,1995,1.5688,Europe,🇭🇺
Hongrie,1996,1.45591,Europe,🇭🇺
Hongrie,1997,1.37484,Europe,🇭🇺
Hongrie,1998,1.32415,Europe,🇭🇺
Hongrie,1999,1.28184,Europe,🇭🇺
Hongrie,2000,1.31887,Europe,🇭🇺
Hongrie,2001,1.30858,Europe,🇭🇺
Hongrie,2002,1.30263,Europe,🇭🇺
Hongrie,2003,1.2718,Europe,🇭🇺
Hongrie,2004,1.27586,Europe,🇭🇺
Hongrie,2005,1.30646,Europe,🇭🇺
Hongrie,2006,1.3399,Europe,🇭🇺
Hongrie,2007,1.31579,Europe,🇭🇺
Hongrie,2008,1.34746,Europe,🇭🇺
Hongrie,2009,1.32118,Europe,🇭🇺
Hongrie,2010,1.24982,Europe,🇭🇺
Hongrie,2011,1.23322,Europe,🇭🇺
Hongrie,2012,1.33735,Europe,🇭🇺
Hongrie,2013,1.35128,Europe,🇭🇺
Hongrie,2014,1.43752,Europe,🇭🇺
Hongrie,2015,1.44697,Europe,🇭🇺
Hongrie,2016,1.53106,Europe,🇭🇺
Hongrie,2017,1.54418,Europe,🇭🇺
Hongrie,2018,1.54551,Europe,🇭🇺
Hongrie,2019,1.55471,Europe,🇭🇺
Hongrie,2020,1.58595,Europe,🇭🇺
Hongrie,2021,1.6053,Europe,🇭🇺
Hongrie,2022,1.55832,Europe,🇭🇺
Hongrie,2023,1.54857,Europe,🇭🇺
Pays-Bas,1960,3.12124,Europe,🇳🇱
Pays-Bas,1961,3.21658,Europe,🇳🇱
Pays-Bas,1962,3.17516,Europe,🇳🇱
Pays-Bas,1963,3.19201,Europe,🇳🇱
Pays-Bas,1964,3.16504,Europe,🇳🇱
Pays-Bas,1965,3.03825,Europe,🇳🇱
Pays-Bas,1966,2.90202,Europe,🇳🇱
Pays-Bas,1967,2.81356,Europe,🇳🇱
Pays-Bas,1968,2.71528,Europe,🇳🇱
Pays-Bas,1969,2.74786,Europe,🇳🇱
Pays-Bas,1970,2.57166,Europe,🇳🇱
Pays-Bas,1971,2.36106,Europe,🇳🇱
Pays-Bas,1972,2.15017,Europe,🇳🇱
Pays-Bas,1973,1.90412,Europe,🇳🇱
Pays-Bas,1974,1.77348,Europe,🇳🇱
Pays-Bas,1975,1.66426,Europe,🇳🇱
Pays-Bas,1976,1.63204,Europe,🇳🇱
Pays-Bas,1977,1.57927,Europe,🇳🇱
Pays-Bas,1978,1.5833,Europe,🇳🇱
Pays-Bas,1979,1.56277,Europe,🇳🇱
Pays-Bas,1980,1.60203,Europe,🇳🇱
Pays-Bas,1981,1.5633,Europe,🇳🇱
Pays-Bas,1982,1.49523,Europe,🇳🇱
Pays-Bas,1983,1.46756,Europe,🇳🇱
Pays-Bas,1984,1.49123,Europe,🇳🇱
Pays-Bas,1985,1.51132,Europe,🇳🇱
Pays-Bas,1986,1.55311,Europe,🇳🇱
Pays-Bas,1987,1.55833,Europe,🇳🇱
Pays-Bas,1988,1.54508,Europe,🇳🇱
Pays-Bas,1989,1.55425,Europe,🇳🇱
Pays-Bas,1990,1.6174,Europe,🇳🇱
Pays-Bas,1991,1.61209,Europe,🇳🇱
Pays-Bas,1992,1.58745,Europe,🇳🇱
Pays-Bas,1993,1.57241,Europe,🇳🇱
Pays-Bas,1994,1.5696,Europe,🇳🇱
Pays-Bas,1995,1.53167,Europe,🇳🇱
Pays-Bas,1996,1.52906,Europe,🇳🇱
Pays-Bas,1997,1.56237,Europe,🇳🇱
Pays-Bas,1998,1.62806,Europe,🇳🇱
Pays-Bas,1999,1.65188,Europe,🇳🇱
Pays-Bas,2000,1.72233,Europe,🇳🇱
Pays-Bas,2001,1.70953,Europe,🇳🇱
Pays-Bas,2002,1.73066,Europe,🇳🇱
Pays-Bas,2003,1.74623,Europe,🇳🇱
Pays-Bas,2004,1.72487,Europe,🇳🇱
Pays-Bas,2005,1.70751,Europe,🇳🇱
Pays-Bas,2006,1.71922,Europe,🇳🇱
Pays-Bas,2007,1.7167,Europe,🇳🇱
Pays-Bas,2008,1.77185,Europe,🇳🇱
Pays-Bas,2009,1.78933,Europe,🇳🇱
Pays-Bas,2010,1.79434,Europe,🇳🇱
Pays-Bas,2011,1.75831,Europe,🇳🇱
Pays-Bas,2012,1.72213,Europe,🇳🇱
Pays-Bas,2013,1.67843,Europe,🇳🇱
Pays-Bas,2014,1.71233,Europe,🇳🇱
Pays-Bas,2015,1.65772,Europe,🇳🇱
Pays-Bas,2016,1.66277,Europe,🇳🇱
Pays-Bas,2017,1.61886,Europe,🇳🇱
Pays-Bas,2018,1.58618,Europe,🇳🇱
Pays-Bas,2019,1.57402,Europe,🇳🇱
Pays-Bas,2020,1.54489,Europe,🇳🇱
Pays-Bas,2021,1.62419,Europe,🇳🇱
Pays-Bas,2022,1.48643,Europe,🇳🇱
Pays-Bas,2023,1.42977,Europe,🇳🇱
Pologne,1960,3.004,Europe,🇵🇱
Pologne,1961,2.86,Europe,🇵🇱
Pologne,1962,2.744,Europe,🇵🇱
Pologne,1963,2.7,Europe,🇵🇱
Pologne,1964,2.603,Europe,🇵🇱
Pologne,1965,2.537,Europe,🇵🇱
Pologne,1966,2.447,Europe,🇵🇱
Pologne,1967,2.349,Europe,🇵🇱
Pologne,1968,2.296,Europe,🇵🇱
Pologne,1969,2.259,Europe,🇵🇱
Pologne,1970,2.254,Europe,🇵🇱
Pologne,1971,2.251,Europe,🇵🇱
Pologne,1972,2.238,Europe,🇵🇱
Pologne,1973,2.252,Europe,🇵🇱
Pologne,1974,2.265,Europe,🇵🇱
Pologne,1975,2.282,Europe,🇵🇱
Pologne,1976,2.313,Europe,🇵🇱
Pologne,1977,2.252,Europe,🇵🇱
Pologne,1978,2.232,Europe,🇵🇱
Pologne,1979,2.277,Europe,🇵🇱
Pologne,1980,2.277,Europe,🇵🇱
Pologne,1981,2.246,Europe,🇵🇱
Pologne,1982,2.34,Europe,🇵🇱
Pologne,1983,2.416,Europe,🇵🇱
Pologne,1984,2.377,Europe,🇵🇱
Pologne,1985,2.323,Europe,🇵🇱
Pologne,1986,2.218,Europe,🇵🇱
Pologne,1987,2.157,Europe,🇵🇱
Pologne,1988,2.142,Europe,🇵🇱
Pologne,1989,2.098,Europe,🇵🇱
Pologne,1990,2.065,Europe,🇵🇱
Pologne,1991,2.07218,Europe,🇵🇱
Pologne,1992,1.95256,Europe,🇵🇱
Pologne,1993,1.86685,Europe,🇵🇱
Pologne,1994,1.80875,Europe,🇵🇱
Pologne,1995,1.61914,Europe,🇵🇱
Pologne,1996,1.58719,Europe,🇵🇱
Pologne,1997,1.51422,Europe,🇵🇱
Pologne,1998,1.4356,Europe,🇵🇱
Pologne,1999,1.36897,Europe,🇵🇱
Pologne,2000,1.36676,Europe,🇵🇱
Pologne,2001,1.31494,Europe,🇵🇱
Pologne,2002,1.2479,Europe,🇵🇱
Pologne,2003,1.22241,Europe,🇵🇱
Pologne,2004,1.22658,Europe,🇵🇱
Pologne,2005,1.24258,Europe,🇵🇱
Pologne,2006,1.26672,Europe,🇵🇱
Pologne,2007,1.30626,Europe,🇵🇱
Pologne,2008,1.38998,Europe,🇵🇱
Pologne,2009,1.39757,Europe,🇵🇱
Pologne,2010,1.41311,Europe,🇵🇱
Pologne,2011,1.33118,Europe,🇵🇱
Pologne,2012,1.33214,Europe,🇵🇱
Pologne,2013,1.28716,Europe,🇵🇱
Pologne,2014,1.32071,Europe,🇵🇱
Pologne,2015,1.31811,Europe,🇵🇱
Pologne,2016,1.38513,Europe,🇵🇱
Pologne,2017,1.48016,Europe,🇵🇱
Pologne,2018,1.45845,Europe,🇵🇱
Pologne,2019,1.43875,Europe,🇵🇱
Pologne,2020,1.39491,Europe,🇵🇱
Pologne,2021,1.3342,Europe,🇵🇱
Pologne,2022,1.28602,Europe,🇵🇱
Pologne,2023,1.20183,Europe,🇵🇱
Portugal,1960,3.16273,Europe,🇵🇹
Portugal,1961,3.2053,Europe,🇵🇹
Portugal,1962,3.23406,Europe,🇵🇹
Portugal,1963,3.12253,Europe,🇵🇹
Portugal,1964,3.2135,Europe,🇵🇹
Portugal,1965,3.14975,Europe,🇵🇹
Portugal,1966,3.1611,Europe,🇵🇹
Portugal,1967,3.15827,Europe,🇵🇹
Portugal,1968,3.12224,Europe,🇵🇹
Portugal,1969,3.12193,Europe,🇵🇹
Portugal,1970,3.00732,Europe,🇵🇹
Portugal,1971,3.00307,Europe,🇵🇹
Portugal,1972,2.85944,Europe,🇵🇹
Portugal,1973,2.771,Europe,🇵🇹
Portugal,1974,2.69576,Europe,🇵🇹
Portugal,1975,2.75195,Europe,🇵🇹
