icf,pays,_
1966,France,
1967,France,
1968,France,
1969,France,
1970,France,
1971,France,
1972,France,
1973,France,
1974,France,
1975,France,
1976,France,
1977,France,
1978,France,
1979,France,
1980,France,
1981,France,
1982,France,
1983,France,
1984,France,
1985,France,
1986,France,
1987,France,
1988,France,
1989,France,
1990,France,
1991,France,
1992,France,
1993,France,
1994,France,
1995,France,
1996,France,
1997,France,
1998,France,1.77945
1999,France,1.80899
2000,France,1.8938
2001,France,1.89557
2002,France,1.88115
2003,France,1.89165
2004,France,1.91505
2005,France,1.93864
2006,France,1.9981
2007,France,1.9778
2008,France,2.00745
2009,France,2.00449
2010,France,2.0297
2011,France,2.011
2012,France,2.00938
2013,France,1.98938
2014,France,2.00041
2015,France,1.95692
2016,France,1.925
2017,France,1.89351
2018,France,1.87066
2019,France,1.86327
2020,France,1.81782
2021,France,1.82536
2022,France,1.78069
2023,France,1.66014
1960,France metro,2.72719
1961,France metro,2.81187
1962,France metro,2.78226
1963,France metro,2.88302
1964,France metro,2.90144
1965,France metro,2.83602
1966,France metro,2.78793
1967,France metro,2.66013
1968,France metro,2.5782
1969,France metro,2.526
1970,France metro,2.47289
1971,France metro,2.48962
1972,France metro,2.41222
1973,France metro,2.30226
1974,France metro,2.10714
1975,France metro,1.92709
1976,France metro,1.82952
1977,France metro,1.86225
1978,France metro,1.82231
1979,France metro,1.85576
1980,France metro,1.94584
1981,France metro,1.94566
1982,France metro,1.9128
1983,France metro,1.78457
1984,France metro,1.8021
1985,France metro,1.81436
1986,France metro,1.83167
1987,France metro,1.80179
1988,France metro,1.80562
1989,France metro,1.78825
1990,France metro,1.77868
1991,France metro,1.77013
1992,France metro,1.73391
1993,France metro,1.66064
1994,France metro,1.66327
1995,France metro,1.71349
1996,France metro,1.73368
1997,France metro,1.72623
1998,France metro,1.76408
1999,France metro,1.79145
2000,France metro,1.87436
2001,France metro,1.8767
2002,France metro,1.86424
2003,France metro,1.87364
2004,France metro,1.89746
2005,France metro,1.91898
2006,France metro,1.98017
2007,France metro,1.95869
2008,France metro,1.98995
2009,France metro,1.98907
2010,France metro,2.01619
2011,France metro,1.99618
2012,France metro,1.9923
2013,France metro,
2014,France metro,
2015,France metro,
2016,France metro,
2017,France metro,
2018,France metro,
2019,France metro,
2020,France metro,
2021,France metro,
2022,France metro,
2023,France metro,
1960,Italie,2.37331
1961,Italie,2.42113
1962,Italie,2.44062
1963,Italie,2.50083
1964,Italie,2.65183
1965,Italie,2.59296
1966,Italie,2.57434
1967,Italie,2.49916
1968,Italie,2.49309
