annee,pays,icf,flag,paysFlag,paysFlagEn
2015,Pays-Bas,1.66,🇳🇱,Pays-Bas 🇳🇱,Netherlands 🇳🇱
2016,Pays-Bas,1.66,🇳🇱,Pays-Bas 🇳🇱,Netherlands 🇳🇱
2017,Pays-Bas,1.62,🇳🇱,Pays-Bas 🇳🇱,Netherlands 🇳🇱
2018,Pays-Bas,1.59,🇳🇱,Pays-Bas 🇳🇱,Netherlands 🇳🇱
2019,Pays-Bas,1.57,🇳🇱,Pays-Bas 🇳🇱,Netherlands 🇳🇱
2020,Pays-Bas,1.54,🇳🇱,Pays-Bas 🇳🇱,Netherlands 🇳🇱
2021,Pays-Bas,1.62,🇳🇱,Pays-Bas 🇳🇱,Netherlands 🇳🇱
2022,Pays-Bas,1.49,🇳🇱,Pays-Bas 🇳🇱,Netherlands 🇳🇱
2023,Pays-Bas,1.43,🇳🇱,Pays-Bas 🇳🇱,Netherlands 🇳🇱
2000,Allemagne,1.38,🇩🇪,Allemagne 🇩🇪,Germany 🇩🇪
2001,Allemagne,1.35,🇩🇪,Allemagne 🇩🇪,Germany 🇩🇪
2002,Allemagne,1.34,🇩🇪,Allemagne 🇩🇪,Germany 🇩🇪
2003,Allemagne,1.34,🇩🇪,Allemagne 🇩🇪,Germany 🇩🇪
2004,Allemagne,1.36,🇩🇪,Allemagne 🇩🇪,Germany 🇩🇪
2005,Allemagne,1.34,🇩🇪,Allemagne 🇩🇪,Germany 🇩🇪
2006,Allemagne,1.33,🇩🇪,Allemagne 🇩🇪,Germany 🇩🇪
2007,Allemagne,1.37,🇩🇪,Allemagne 🇩🇪,Germany 🇩🇪
2008,Allemagne,1.38,🇩🇪,Allemagne 🇩🇪,Germany 🇩🇪
2009,Allemagne,1.36,🇩🇪,Allemagne 🇩🇪,Germany 🇩🇪
2010,Allemagne,1.39,🇩🇪,Allemagne 🇩🇪,Germany 🇩🇪
2011,Allemagne,1.39,🇩🇪,Allemagne 🇩🇪,Germany 🇩🇪
2012,Allemagne,1.41,🇩🇪,Allemagne 🇩🇪,Germany 🇩🇪
2013,Allemagne,1.42,🇩🇪,Allemagne 🇩🇪,Germany 🇩🇪
2014,Allemagne,1.47,🇩🇪,Allemagne 🇩🇪,Germany 🇩🇪
2015,Allemagne,1.5,🇩🇪,Allemagne 🇩🇪,Germany 🇩🇪
2016,Allemagne,1.6,🇩🇪,Allemagne 🇩🇪,Germany 🇩🇪
